trainee_id,interests,skills,goals,notes
متدرب-001,"بايثون, كشف الشذوذ والأنماط, أدلة رقمية","إدارة الثغرات الأمنية, أساسيات تحليل البرمجيات الخبيثة, التحليل الجنائي للأجهزة الذكية",فهم تطبيقات الذكاء الاصطناعي في العمل,يركز على تحسين كتابة التقارير الرسمية.
متدرب-002,"مركز عمليات أمنية, ذكاء اصطناعي للأمن, أدلة الأجهزة الذكية, احتيال مالي, تحليل بيانات","أساسيات SQL, التحليل الجنائي للشبكات, أساسيات تحليل البرمجيات الخبيثة, الاستجابة للحوادث السيبرانية",ترقية وظيفية/رفع جاهزية الأداء,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-003,"البحث عن التهديدات, بايثون, برمجيات فدية","أساسيات أنظمة SIEM, أساسيات SQL, تحليل السجلات",ترقية وظيفية/رفع جاهزية الأداء,يركز على تحسين كتابة التقارير الرسمية.
متدرب-004,,,,
متدرب-005,"سلسلة حفظ الأدلة, جرائم معلوماتية, تصيد احتيالي, بايثون, مركز عمليات أمنية","OSINT (استخبارات المصادر المفتوحة), القيادة الأساسية, تحليل السجلات",تحسين كتابة التقارير والمخرجات الرسمية,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-006,"برمجيات فدية, تصيد احتيالي, مركز عمليات أمنية","توثيق القضايا وكتابة المحاضر, أساسيات SQL, تحليل السجلات, إدارة الأزمات, كتابة التقارير المهنية",التخصص في الأدلة الرقمية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-007,"أدلة الأجهزة الذكية, أدلة الشبكات, أدلة رقمية, الاستجابة للحوادث, سلسلة حفظ الأدلة","التحليل الجنائي للأجهزة الذكية, البحث عن التهديدات, القيادة الأساسية",ترقية وظيفية/رفع جاهزية الأداء,يركز على تحسين كتابة التقارير الرسمية.
متدرب-008,"احتيال مالي, أدلة رقمية, إجراءات نظامية وإثباتات, البحث عن التهديدات, الاستجابة للحوادث","القيادة الأساسية, أساسيات أنظمة SIEM",تطوير مهارات التحقيق,يركز على تحسين كتابة التقارير الرسمية.
متدرب-009,"الاستجابة للحوادث, سلسلة حفظ الأدلة, البحث عن التهديدات, تحليل برمجيات خبيثة (أساسيات), برمجيات فدية","البحث عن التهديدات, أساسيات التحقيق الجنائي, OSINT (استخبارات المصادر المفتوحة)",رفع الوعي بالامتثال وأخلاقيات التقنية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-010,"احتيال مالي, تحليل بيانات, مركز عمليات أمنية","الإجراءات النظامية ذات العلاقة, كتابة التقارير المهنية, توثيق القضايا وكتابة المحاضر, التحليل الجنائي للشبكات, البحث عن التهديدات",التخصص في الأدلة الرقمية,يرغب في تطبيق عملي وحالات واقعية.
متدرب-011,"البحث عن التهديدات, تحليل بيانات, الاستجابة للحوادث","أساسيات SQL, إدارة الأزمات, كتابة التقارير المهنية, الاستجابة للحوادث السيبرانية, أساسيات تحليل البرمجيات الخبيثة",التخصص في الأدلة الرقمية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-012,"تصيد احتيالي, الاستجابة للحوادث, أدلة الشبكات, تحليل بيانات","التحليل الجنائي للذاكرة, تحليل السجلات, الإجراءات النظامية ذات العلاقة, التواصل والعرض, أساسيات بايثون للتحليل",الانتقال لمسار الأمن السيبراني,يرغب في تطبيق عملي وحالات واقعية.
متدرب-013,"برمجيات فدية, تحليل بيانات, احتيال مالي","أساسيات تحليل البرمجيات الخبيثة, OSINT (استخبارات المصادر المفتوحة), أساسيات التحقيق الجنائي",تطوير مهارات التحقيق,يركز على تحسين كتابة التقارير الرسمية.
متدرب-014,"كشف الشذوذ والأنماط, أدلة الشبكات, احتيال مالي","أساسيات SQL, تحليل أجهزة التخزين, التحليل الجنائي للذاكرة",الانتقال لمسار الأمن السيبراني,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-015,"سلسلة حفظ الأدلة, أدلة رقمية","أساسيات بايثون للتحليل, التحليل الجنائي للأجهزة الذكية, القيادة الأساسية",الاستعداد للعمل في مركز عمليات أمنية,يرغب في تطبيق عملي وحالات واقعية.
متدرب-016,"أدلة رقمية, جرائم معلوماتية","القيادة الأساسية, التحليل الجنائي للذاكرة, أساسيات SQL, أساسيات مركز العمليات الأمنية (SOC)",تطوير مهارات التحقيق,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-017,"OSINT, SQL, برمجيات فدية","البحث عن التهديدات, إدارة الثغرات الأمنية",الانتقال لمسار الأمن السيبراني,يريد فهم آليات الاستجابة للحوادث.
متدرب-018,"SQL, إجراءات نظامية وإثباتات, تصيد احتيالي, تحليل برمجيات خبيثة (أساسيات), مركز عمليات أمنية","أساسيات تحليل البرمجيات الخبيثة, أساسيات التحقيق الجنائي, توثيق القضايا وكتابة المحاضر, البحث عن التهديدات, أساسيات أنظمة SIEM",تعلم تحليل البيانات لدعم القضايا,يرغب في تطبيق عملي وحالات واقعية.
متدرب-019,"احتيال مالي, تحليل برمجيات خبيثة (أساسيات), SIEM وتحليل تنبيهات, أدلة رقمية, كشف الشذوذ والأنماط","التحليل الجنائي للأجهزة الذكية, OSINT (استخبارات المصادر المفتوحة), أساسيات تحليل البرمجيات الخبيثة",رفع الوعي بالامتثال وأخلاقيات التقنية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-020,"تحليل بيانات, SQL, OSINT, برمجيات فدية","أساسيات تحليل البرمجيات الخبيثة, أخلاقيات العمل والامتثال",رفع الوعي بالامتثال وأخلاقيات التقنية,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-021,"OSINT, SIEM وتحليل تنبيهات, تحليل بيانات","الاستجابة للحوادث السيبرانية, إدارة الأزمات, الإجراءات النظامية ذات العلاقة, أساسيات مركز العمليات الأمنية (SOC), التواصل والعرض",ترقية وظيفية/رفع جاهزية الأداء,يركز على تحسين كتابة التقارير الرسمية.
متدرب-022,"احتيال مالي, تحليل برمجيات خبيثة (أساسيات), كشف الشذوذ والأنماط, ذكاء اصطناعي للأمن, OSINT","إدارة الأزمات, تحليل السجلات",الاستعداد للعمل في مركز عمليات أمنية,يريد فهم آليات الاستجابة للحوادث.
متدرب-023,,,,
متدرب-024,"برمجيات فدية, OSINT, الاستجابة للحوادث, كشف الشذوذ والأنماط","التحليل الجنائي للشبكات, OSINT (استخبارات المصادر المفتوحة)",ترقية وظيفية/رفع جاهزية الأداء,يركز على تحسين كتابة التقارير الرسمية.
متدرب-025,,,,
متدرب-026,"بايثون, إجراءات نظامية وإثباتات, برمجيات فدية","أساسيات بايثون للتحليل, تحليل السجلات, الإجراءات النظامية ذات العلاقة, أخلاقيات العمل والامتثال",ترقية وظيفية/رفع جاهزية الأداء,يريد فهم آليات الاستجابة للحوادث.
متدرب-027,"ذكاء اصطناعي للأمن, تحليل برمجيات خبيثة (أساسيات), جرائم معلوماتية, سلسلة حفظ الأدلة, كشف الشذوذ والأنماط","التحليل الجنائي للأجهزة الذكية, التخطيط التشغيلي, أخلاقيات العمل والامتثال",ترقية وظيفية/رفع جاهزية الأداء,يركز على تحسين كتابة التقارير الرسمية.
متدرب-028,"أدلة رقمية, كشف الشذوذ والأنماط, البحث عن التهديدات","كتابة التقارير المهنية, إدارة الأزمات",تطوير مهارات التحقيق,يرغب في تطبيق عملي وحالات واقعية.
متدرب-029,"البحث عن التهديدات, OSINT, تحليل بيانات","التعامل مع الأدلة الرقمية, تحليل السجلات, التحليل الجنائي للشبكات, إدارة الأزمات",الانتقال لمسار الأمن السيبراني,يريد فهم آليات الاستجابة للحوادث.
متدرب-030,"أدلة رقمية, أدلة الأجهزة الذكية","التواصل والعرض, سلسلة حفظ الأدلة",ترقية وظيفية/رفع جاهزية الأداء,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-031,"تحليل برمجيات خبيثة (أساسيات), تحليل بيانات, OSINT, سلسلة حفظ الأدلة, أدلة الشبكات","تحليل السجلات, الاستجابة للحوادث السيبرانية",التخصص في الأدلة الرقمية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-032,"SQL, مركز عمليات أمنية, تصيد احتيالي, إجراءات نظامية وإثباتات, البحث عن التهديدات","أساسيات التحقيق الجنائي, تحليل أجهزة التخزين",ترقية وظيفية/رفع جاهزية الأداء,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-033,"مركز عمليات أمنية, SIEM وتحليل تنبيهات, برمجيات فدية, جرائم معلوماتية","إدارة الأزمات, الاستجابة للحوادث السيبرانية, التعامل مع الأدلة الرقمية, كتابة التقارير المهنية, أساسيات أنظمة SIEM",رفع الوعي بالامتثال وأخلاقيات التقنية,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-034,"احتيال مالي, البحث عن التهديدات, تصيد احتيالي, OSINT","إدارة الثغرات الأمنية, سلسلة حفظ الأدلة",الانتقال لمسار الأمن السيبراني,يريد فهم آليات الاستجابة للحوادث.
متدرب-035,"OSINT, مركز عمليات أمنية, برمجيات فدية, البحث عن التهديدات, جرائم معلوماتية","التعامل مع الأدلة الرقمية, القيادة الأساسية, OSINT (استخبارات المصادر المفتوحة), إدارة الثغرات الأمنية",الانتقال لمسار الأمن السيبراني,يرغب في تطبيق عملي وحالات واقعية.
متدرب-036,"إجراءات نظامية وإثباتات, OSINT","تحليل البيانات (Excel/مبادئ), سلسلة حفظ الأدلة, أساسيات أنظمة SIEM, التحليل الجنائي للشبكات, إدارة الأزمات",الانتقال لمسار الأمن السيبراني,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-037,"احتيال مالي, SQL, برمجيات فدية","أخلاقيات العمل والامتثال, تحليل السجلات, إدارة الأزمات",الاستعداد للعمل في مركز عمليات أمنية,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-038,,,,
متدرب-039,"تحليل برمجيات خبيثة (أساسيات), أدلة رقمية, احتيال مالي","أخلاقيات العمل والامتثال, أساسيات تحليل البرمجيات الخبيثة, البحث عن التهديدات",فهم تطبيقات الذكاء الاصطناعي في العمل,يريد فهم آليات الاستجابة للحوادث.
متدرب-040,"كشف الشذوذ والأنماط, SIEM وتحليل تنبيهات, تحليل برمجيات خبيثة (أساسيات), أدلة رقمية, تحليل بيانات","البحث عن التهديدات, إدارة الثغرات الأمنية",ترقية وظيفية/رفع جاهزية الأداء,يركز على تحسين كتابة التقارير الرسمية.
متدرب-041,"SQL, احتيال مالي, مركز عمليات أمنية, تحليل بيانات","توثيق القضايا وكتابة المحاضر, تحليل السجلات, التحليل الجنائي للشبكات, سلسلة حفظ الأدلة, أساسيات تحليل البرمجيات الخبيثة",التخصص في الأدلة الرقمية,يريد فهم آليات الاستجابة للحوادث.
متدرب-042,"تحليل بيانات, كشف الشذوذ والأنماط, ذكاء اصطناعي للأمن, تصيد احتيالي, تحليل برمجيات خبيثة (أساسيات)","أساسيات مركز العمليات الأمنية (SOC), OSINT (استخبارات المصادر المفتوحة), البحث عن التهديدات",رفع الوعي بالامتثال وأخلاقيات التقنية,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-043,"برمجيات فدية, SIEM وتحليل تنبيهات, احتيال مالي, SQL, أدلة الأجهزة الذكية","التحليل الجنائي للذاكرة, التخطيط التشغيلي",فهم تطبيقات الذكاء الاصطناعي في العمل,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-044,"الاستجابة للحوادث, تحليل برمجيات خبيثة (أساسيات), مركز عمليات أمنية","الاستجابة للحوادث السيبرانية, أخلاقيات العمل والامتثال, أساسيات مركز العمليات الأمنية (SOC), التواصل والعرض, OSINT (استخبارات المصادر المفتوحة)",تطوير مهارات التحقيق,يركز على تحسين كتابة التقارير الرسمية.
متدرب-045,,,,
متدرب-046,,,,
متدرب-047,"سلسلة حفظ الأدلة, أدلة رقمية, SIEM وتحليل تنبيهات, احتيال مالي","تحليل السجلات, التحليل الجنائي للشبكات, أساسيات تحليل البرمجيات الخبيثة",تعلم تحليل البيانات لدعم القضايا,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-048,"مركز عمليات أمنية, ذكاء اصطناعي للأمن","أساسيات تحليل البرمجيات الخبيثة, القيادة الأساسية, أساسيات مركز العمليات الأمنية (SOC), كتابة التقارير المهنية, التواصل والعرض",رفع الوعي بالامتثال وأخلاقيات التقنية,يرغب في تطبيق عملي وحالات واقعية.
متدرب-049,"SQL, الاستجابة للحوادث, جرائم معلوماتية, كشف الشذوذ والأنماط, مركز عمليات أمنية","تحليل أجهزة التخزين, أساسيات مركز العمليات الأمنية (SOC), أخلاقيات العمل والامتثال",فهم تطبيقات الذكاء الاصطناعي في العمل,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-050,"أدلة رقمية, احتيال مالي, مركز عمليات أمنية","تحليل البيانات (Excel/مبادئ), أخلاقيات العمل والامتثال",رفع الوعي بالامتثال وأخلاقيات التقنية,يريد فهم آليات الاستجابة للحوادث.
متدرب-051,,,,
متدرب-052,"تحليل برمجيات خبيثة (أساسيات), البحث عن التهديدات, أدلة رقمية","التعامل مع الأدلة الرقمية, التخطيط التشغيلي, أخلاقيات العمل والامتثال",الاستعداد للعمل في مركز عمليات أمنية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-053,,,,
متدرب-054,"تحليل بيانات, مركز عمليات أمنية, تحليل برمجيات خبيثة (أساسيات)","أساسيات بايثون للتحليل, التحليل الجنائي للذاكرة, التحليل الجنائي للشبكات",فهم تطبيقات الذكاء الاصطناعي في العمل,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-055,"تحليل بيانات, مركز عمليات أمنية, البحث عن التهديدات, SQL, OSINT","تحليل أجهزة التخزين, القيادة الأساسية, OSINT (استخبارات المصادر المفتوحة)",الاستعداد للعمل في مركز عمليات أمنية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-056,,,,
متدرب-057,"ذكاء اصطناعي للأمن, برمجيات فدية, SQL, كشف الشذوذ والأنماط","سلسلة حفظ الأدلة, أخلاقيات العمل والامتثال, التعامل مع الأدلة الرقمية, التحليل الجنائي للأجهزة الذكية",فهم تطبيقات الذكاء الاصطناعي في العمل,يريد فهم آليات الاستجابة للحوادث.
متدرب-058,,,,
متدرب-059,"تحليل بيانات, الاستجابة للحوادث, جرائم معلوماتية","توثيق القضايا وكتابة المحاضر, أساسيات أنظمة SIEM, تحليل البيانات (Excel/مبادئ), تحليل السجلات, التحليل الجنائي للذاكرة",تعلم تحليل البيانات لدعم القضايا,يرغب في تطبيق عملي وحالات واقعية.
متدرب-060,"SIEM وتحليل تنبيهات, برمجيات فدية","القيادة الأساسية, كتابة التقارير المهنية, توثيق القضايا وكتابة المحاضر, التحليل الجنائي للشبكات",فهم تطبيقات الذكاء الاصطناعي في العمل,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-061,"تحليل بيانات, جرائم معلوماتية, احتيال مالي, كشف الشذوذ والأنماط, سلسلة حفظ الأدلة","كتابة التقارير المهنية, أساسيات بايثون للتحليل, إدارة الأزمات",رفع الوعي بالامتثال وأخلاقيات التقنية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-062,,,,
متدرب-063,"برمجيات فدية, تصيد احتيالي, إجراءات نظامية وإثباتات, OSINT","سلسلة حفظ الأدلة, الإجراءات النظامية ذات العلاقة, البحث عن التهديدات, OSINT (استخبارات المصادر المفتوحة), أساسيات بايثون للتحليل",تطوير مهارات التحقيق,يريد فهم آليات الاستجابة للحوادث.
متدرب-064,"مركز عمليات أمنية, OSINT, جرائم معلوماتية","التحليل الجنائي للذاكرة, أساسيات SQL, الاستجابة للحوادث السيبرانية, التعامل مع الأدلة الرقمية",التخصص في الأدلة الرقمية,يريد فهم آليات الاستجابة للحوادث.
متدرب-065,"SQL, ذكاء اصطناعي للأمن","أساسيات أنظمة SIEM, البحث عن التهديدات",تطوير مهارات التحقيق,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-066,"جرائم معلوماتية, الاستجابة للحوادث, احتيال مالي, كشف الشذوذ والأنماط","إدارة الأزمات, التواصل والعرض, أساسيات تحليل البرمجيات الخبيثة",التخصص في الأدلة الرقمية,يريد فهم آليات الاستجابة للحوادث.
متدرب-067,"أدلة رقمية, تصيد احتيالي, الاستجابة للحوادث, SIEM وتحليل تنبيهات","أخلاقيات العمل والامتثال, التواصل والعرض, إدارة الثغرات الأمنية",فهم تطبيقات الذكاء الاصطناعي في العمل,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-068,"تحليل بيانات, تصيد احتيالي","تحليل أجهزة التخزين, توثيق القضايا وكتابة المحاضر, القيادة الأساسية, أساسيات مركز العمليات الأمنية (SOC)",ترقية وظيفية/رفع جاهزية الأداء,يريد فهم آليات الاستجابة للحوادث.
متدرب-069,"سلسلة حفظ الأدلة, تصيد احتيالي, أدلة الشبكات, مركز عمليات أمنية, الاستجابة للحوادث","أساسيات تحليل البرمجيات الخبيثة, أساسيات مركز العمليات الأمنية (SOC)",ترقية وظيفية/رفع جاهزية الأداء,يرغب في تطبيق عملي وحالات واقعية.
متدرب-070,"البحث عن التهديدات, تحليل بيانات, تحليل برمجيات خبيثة (أساسيات), SIEM وتحليل تنبيهات, أدلة الأجهزة الذكية","التخطيط التشغيلي, البحث عن التهديدات, تحليل السجلات, القيادة الأساسية, تحليل البيانات (Excel/مبادئ)",ترقية وظيفية/رفع جاهزية الأداء,يرغب في تطبيق عملي وحالات واقعية.
متدرب-071,"OSINT, أدلة الأجهزة الذكية","أساسيات مركز العمليات الأمنية (SOC), الإجراءات النظامية ذات العلاقة, سلسلة حفظ الأدلة, التواصل والعرض",ترقية وظيفية/رفع جاهزية الأداء,يركز على تحسين كتابة التقارير الرسمية.
متدرب-072,"أدلة الأجهزة الذكية, تحليل بيانات, الاستجابة للحوادث, كشف الشذوذ والأنماط, تصيد احتيالي","OSINT (استخبارات المصادر المفتوحة), الاستجابة للحوادث السيبرانية, التحليل الجنائي للأجهزة الذكية, أساسيات تحليل البرمجيات الخبيثة",تطوير مهارات التحقيق,يرغب في تطبيق عملي وحالات واقعية.
متدرب-073,"الاستجابة للحوادث, SQL, أدلة الأجهزة الذكية, جرائم معلوماتية, أدلة رقمية","توثيق القضايا وكتابة المحاضر, كتابة التقارير المهنية, سلسلة حفظ الأدلة, التحليل الجنائي للذاكرة, أخلاقيات العمل والامتثال",الانتقال لمسار الأمن السيبراني,يركز على تحسين كتابة التقارير الرسمية.
متدرب-074,"تحليل برمجيات خبيثة (أساسيات), أدلة رقمية","تحليل السجلات, إدارة الثغرات الأمنية, أخلاقيات العمل والامتثال, سلسلة حفظ الأدلة, أساسيات SQL",الاستعداد للعمل في مركز عمليات أمنية,يريد فهم آليات الاستجابة للحوادث.
متدرب-075,"سلسلة حفظ الأدلة, إجراءات نظامية وإثباتات, برمجيات فدية, جرائم معلوماتية","البحث عن التهديدات, تحليل البيانات (Excel/مبادئ), أساسيات أنظمة SIEM",رفع الوعي بالامتثال وأخلاقيات التقنية,يرغب في تطبيق عملي وحالات واقعية.
متدرب-076,"تحليل بيانات, أدلة الشبكات, مركز عمليات أمنية, بايثون","الإجراءات النظامية ذات العلاقة, كتابة التقارير المهنية, سلسلة حفظ الأدلة",فهم تطبيقات الذكاء الاصطناعي في العمل,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-077,"احتيال مالي, SIEM وتحليل تنبيهات, الاستجابة للحوادث, تحليل برمجيات خبيثة (أساسيات), مركز عمليات أمنية","التعامل مع الأدلة الرقمية, التخطيط التشغيلي, أساسيات تحليل البرمجيات الخبيثة, القيادة الأساسية",الانتقال لمسار الأمن السيبراني,يريد فهم آليات الاستجابة للحوادث.
متدرب-078,"أدلة رقمية, إجراءات نظامية وإثباتات, بايثون","تحليل السجلات, أساسيات بايثون للتحليل",الانتقال لمسار الأمن السيبراني,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-079,"تحليل برمجيات خبيثة (أساسيات), احتيال مالي, كشف الشذوذ والأنماط","أساسيات أنظمة SIEM, التخطيط التشغيلي, إدارة الأزمات, البحث عن التهديدات",رفع الوعي بالامتثال وأخلاقيات التقنية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-080,"أدلة رقمية, SIEM وتحليل تنبيهات","إدارة الثغرات الأمنية, التواصل والعرض",رفع الوعي بالامتثال وأخلاقيات التقنية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-081,,,,
متدرب-082,"أدلة رقمية, OSINT, SQL","الإجراءات النظامية ذات العلاقة, تحليل البيانات (Excel/مبادئ)",الاستعداد للعمل في مركز عمليات أمنية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-083,"إجراءات نظامية وإثباتات, الاستجابة للحوادث, SQL, مركز عمليات أمنية","التحليل الجنائي للأجهزة الذكية, تحليل أجهزة التخزين",رفع الوعي بالامتثال وأخلاقيات التقنية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-084,,,,
متدرب-085,"SQL, أدلة الأجهزة الذكية","التعامل مع الأدلة الرقمية, التواصل والعرض, OSINT (استخبارات المصادر المفتوحة)",الانتقال لمسار الأمن السيبراني,يريد فهم آليات الاستجابة للحوادث.
متدرب-086,,,,
متدرب-087,"تصيد احتيالي, كشف الشذوذ والأنماط","أساسيات تحليل البرمجيات الخبيثة, تحليل أجهزة التخزين, أخلاقيات العمل والامتثال, أساسيات SQL",تعلم تحليل البيانات لدعم القضايا,يريد فهم آليات الاستجابة للحوادث.
متدرب-088,"ذكاء اصطناعي للأمن, مركز عمليات أمنية, كشف الشذوذ والأنماط, بايثون, إجراءات نظامية وإثباتات","التحليل الجنائي للشبكات, إدارة الثغرات الأمنية, سلسلة حفظ الأدلة, التخطيط التشغيلي, توثيق القضايا وكتابة المحاضر",الاستعداد للعمل في مركز عمليات أمنية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-089,"أدلة الشبكات, SIEM وتحليل تنبيهات, أدلة رقمية, كشف الشذوذ والأنماط, SQL","أساسيات أنظمة SIEM, كتابة التقارير المهنية, أخلاقيات العمل والامتثال, تحليل السجلات",رفع الوعي بالامتثال وأخلاقيات التقنية,يريد فهم آليات الاستجابة للحوادث.
متدرب-090,,,,
متدرب-091,"سلسلة حفظ الأدلة, تحليل بيانات","كتابة التقارير المهنية, الإجراءات النظامية ذات العلاقة, توثيق القضايا وكتابة المحاضر",ترقية وظيفية/رفع جاهزية الأداء,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-092,"إجراءات نظامية وإثباتات, أدلة الأجهزة الذكية, SIEM وتحليل تنبيهات, ذكاء اصطناعي للأمن, أدلة الشبكات","البحث عن التهديدات, تحليل البيانات (Excel/مبادئ), إدارة الثغرات الأمنية",فهم تطبيقات الذكاء الاصطناعي في العمل,يركز على تحسين كتابة التقارير الرسمية.
متدرب-093,"البحث عن التهديدات, SQL","التحليل الجنائي للذاكرة, تحليل أجهزة التخزين, أساسيات SQL, تحليل السجلات, توثيق القضايا وكتابة المحاضر",تطوير مهارات التحقيق,يركز على تحسين كتابة التقارير الرسمية.
متدرب-094,"مركز عمليات أمنية, ذكاء اصطناعي للأمن, جرائم معلوماتية, برمجيات فدية, OSINT","التحليل الجنائي للأجهزة الذكية, إدارة الأزمات, تحليل السجلات",تعلم تحليل البيانات لدعم القضايا,يركز على تحسين كتابة التقارير الرسمية.
متدرب-095,,,,
متدرب-096,,,,
متدرب-097,"ذكاء اصطناعي للأمن, مركز عمليات أمنية, احتيال مالي, البحث عن التهديدات","أخلاقيات العمل والامتثال, أساسيات بايثون للتحليل, التحليل الجنائي للأجهزة الذكية, OSINT (استخبارات المصادر المفتوحة), التواصل والعرض",التخصص في الأدلة الرقمية,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-098,"الاستجابة للحوادث, SIEM وتحليل تنبيهات, ذكاء اصطناعي للأمن, تحليل برمجيات خبيثة (أساسيات), أدلة رقمية","OSINT (استخبارات المصادر المفتوحة), تحليل البيانات (Excel/مبادئ), أساسيات أنظمة SIEM",رفع الوعي بالامتثال وأخلاقيات التقنية,يرغب في تطبيق عملي وحالات واقعية.
متدرب-099,,,,
متدرب-100,,,,
متدرب-101,"SQL, تحليل بيانات, أدلة رقمية, تحليل برمجيات خبيثة (أساسيات), ذكاء اصطناعي للأمن","OSINT (استخبارات المصادر المفتوحة), أساسيات مركز العمليات الأمنية (SOC), التعامل مع الأدلة الرقمية, أساسيات أنظمة SIEM",ترقية وظيفية/رفع جاهزية الأداء,يريد فهم آليات الاستجابة للحوادث.
